brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,1,2025-08-11T19:29:45.563234
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,2,2025-08-11T19:29:49.614685
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,3,2025-08-11T19:29:54.485739
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,4,2025-08-11T19:29:58.482295
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,5,2025-08-11T19:30:02.726360
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,6,2025-08-11T19:30:07.052612
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,7,2025-08-11T19:30:10.718505
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,8,2025-08-11T19:30:14.183567
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,9,2025-08-11T19:30:17.802608
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,10,2025-08-11T19:30:22.268359
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,11,2025-08-11T19:30:25.791001
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,12,2025-08-11T19:30:30.064443
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,13,2025-08-11T19:30:34.315410
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,14,2025-08-11T19:30:37.483287
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,15,2025-08-11T19:30:41.438640
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,16,2025-08-11T19:30:45.145211
Color,CapitalBodycon Solid Playsuit,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1_c5178c02-7ef7-45b6-94f4-5cb98f925c9d_480x360.0.jpg,https://www.slikk.club/athleisure/playsuits/Color Capital/Bodycon-Solid-Playsuit/603880125850,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Playsuits,Athleisure,Playsuits,17,2025-08-11T19:30:49.344176
