brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
RiACTIVEThe,Classic Dusty Rose Sports Bra%Off,1424,1899,25.01%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/4db1780593c94f7c9d6a056e28f4a553Leftbdf200d9f85d45d595f63987530f9a9e_14715ab31b1a4373989b1eb418715313.jpg,https://www.slikk.club/athleisure/tops/RiACTIVE/The-Classic-Dusty-Rose-Sports-Bra/321710060895,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.601552
BummerBummer,Women's Proactive Wireless Non Padded Sports Bra | Micro Modal Anti Bacterial & Full Coverage%Off,499,999,50.05%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x480/5acd4a2ed89540cba1ba9b4d83d54dbc1_480x480.jpg,https://www.slikk.club/athleisure/tops/Bummer/Bummer-Women-s-Proactive-Wireless-Non-Padded-Sports-Bra-Micro-Modal-Anti-Bacterial-Full-Coverage/336866841990,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.602441
D'chicaDOUBLE,LAYER THIN STRAP COTTON ATHLETIC BRAS | NON-PADDED BEGINNER BRA | BLACK%Off,329,349,5.73%,https://slikk-dev-assets-public.s3.amazonaws.com/product/968d669daedd418bb0101897c2856380_DCWNBRDC9339-1.jpg,https://www.slikk.club/athleisure/tops/D'chica/DOUBLE-LAYER-THIN-STRAP-COTTON-ATHLETIC-BRAS-NON-PADDED-BEGINNER-BRA-BLACK/8907681633720,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.603106
&CircusU,Back Lounge Bralette%Off,697,999,30.23%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/dba6cc54a229414caa5ff549cc72c71419ccb20fbae2b4b97addadc05b961141f_cd4bd3ee94f24c9986dc89113b002245.jpg,https://www.slikk.club/athleisure/tops/&Circus/U-Back-Lounge-Bralette/445981166344,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.603779
BummerBummer,Women's Proactive Wireless Non Padded Sports Bra | Micro Modal Anti Bacterial & Full Coverage%Off,499,999,50.05%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x480/484c6872f9ae4ea6bab5013dca76a2b81_480x480.jpg,https://www.slikk.club/athleisure/tops/Bummer/Bummer-Women-s-Proactive-Wireless-Non-Padded-Sports-Bra-Micro-Modal-Anti-Bacterial-Full-Coverage/785725686966,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.604395
CavaCoral,Training Tee%Off,974,1299,25.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/90925839a2ad407eb98ca1496ab311221_3e5b4b06fbb940b689e60f7eb814e930.jpg,https://www.slikk.club/athleisure/tops/Cava/Coral-Training-Tee/8904468835544,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.605094
CavaCosmic,Brami Tank Top%Off,749,1499,50.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/fc00aa7a1cc64d7ea445219a985b31a81_15a0c9d8855843688e47e639b739f8ca.jpg,https://www.slikk.club/athleisure/tops/Cava/Cosmic-Brami-Tank-Top/8904468823527,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.606043
CavaBlush,MeshFit Sports Bra%Off,1299,1999,35.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/949501543d114e99853b05002428ee07302711800x1800_480x360.jpg,https://www.slikk.club/athleisure/tops/Cava/Blush-MeshFit-Sports-Bra/8904468805417,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.606949
CavaGalaxy,Brami Tank Top%Off,749,1499,50.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/f0a7f3d450fd40e0819db640bc2e07dc1_427aab40c37a4b72a471830ffeae1e1b.jpg,https://www.slikk.club/athleisure/tops/Cava/Galaxy-Brami-Tank-Top/8904468823411,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.607811
CavaBlack,Elevate 24|7 Sports Bra%Off,1494,2299,35.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/39b39169b1db4c708883ecb15018f23505637951800x1800_480x360.jpg,https://www.slikk.club/athleisure/tops/Cava/Black-Elevate-24-7-Sports-Bra/8904468808661,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.608823
CavaPinksugar,Breathe Brami%Off,749,1499,50.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/0f8bb29c9b6840f6a31565fd8f0a27dc1_6a9db16face84de884ec4c56b7af0b6c.jpg,https://www.slikk.club/athleisure/tops/Cava/Pinksugar-Breathe-Brami/8904468822889,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.609580
D'chicaSkin,"Sports Bra with Criss-Cross Back, Cotton Material, Removable Pads, and Elasticated Underband for Full Coverage%Off",449,499,10.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/037b018a9a2d411686b98af0e801d447_DCWNBRDC9367-1_0d695285-5673-4e82-8df1-de7d3e372d96.jpg,https://www.slikk.club/athleisure/tops/D'chica/Skin-Sports-Bra-with-Criss-Cross-Back-Cotton-Material-Removable-Pads-and-Elasticated-Underband-for-Full-Coverage/8907681633584,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.610093
RiACTIVEThe,Classic Teal Sports Bra%Off,1424,1899,25.01%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/bba2803f13ff45e98d32ed07b990a4acri8_4512bda0edb64f3490a12dde633ab537.png,https://www.slikk.club/athleisure/tops/RiACTIVE/The-Classic-Teal-Sports-Bra/365853632253,https://www.slikk.club/products?division=WOMEN&category=Athleisure&subcategory=Tops,Athleisure,Tops,1,2025-08-11T19:25:57.610710
