brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
OFF,DUTY INDIAEclipse Blue Rolled-Up Super Wide Leg Jeans%Off,1698,1999,15.06%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/df4c270a7b1246e3b91dd199db5032a0IMG1131_480x360.jpg,https://www.slikk.club/bottom wear/jeans/OFF DUTY INDIA/Eclipse-Blue-Rolled-Up-Super-Wide-Leg-Jeans/228187171152,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.964502
DOLCE,CRUDOWomen'S White Bootcut High Rise Clean Look Regular-Length Stretchable Denim Jeans%Off,1298,3245,60.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/56f248b8674f44e8b2cccb1137f83ec81_480x360.jpg,https://www.slikk.club/bottom wear/jeans/DOLCE CRUDO/Women-S-White-Bootcut-High-Rise-Clean-Look-Regular-Length-Stretchable-Denim-Jeans/493033537504,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.965090
HubberholmeHubberholme,Women puddle Fit High-Rise Light Fade mildly distress Jeans%Off,1569,3799,58.7%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/6d4b6f8dc7004ade8eed2e9b8772feadHHWJNS2407IG131_480x360.jpg,https://www.slikk.club/bottom wear/jeans/Hubberholme/Hubberholme-Women-puddle-Fit-High-Rise-Light-Fade-mildly-distress-Jeans/8905836683552,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.965505
SassafrasBlack,Box Pocket Straight Premium Jeans%Off,989,2199,55.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/SFJEAN03321_647281e1fbac4767ad5108d8a2291350.jpg,https://www.slikk.club/bottom wear/jeans/Sassafras/Black-Box-Pocket-Straight-Premium-Jeans/8905485400494,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.966013
Go,ColorsGo Colors Women's Dusty Violet Super Stretch Jeggings,1399,1399,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/7c300f0900254e419276818109b0c490LJ03DYVOLT1252_c81db6fd7e9b4a08a0f3388e743d9236.jpg,https://www.slikk.club/bottom wear/jeans/Go Colors/Go-Colors-Women-s-Dusty-Violet-Super-Stretch-Jeggings/8905344277878,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.966534
Campus,SutraWomen's Dark Blue Collared Denim Jeans%Off,658,2199,70.08%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/CSWSSJEAN10521_2dfe66f7bd4e4d8da98e3c0da9fd9544.jpg,https://www.slikk.club/bottom wear/jeans/Campus Sutra/Women-s-Dark-Blue-Collared-Denim-Jeans/866112024545,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.966854
DOLCE,CRUDOWomen's White Wide Leg High Rise Clean Look Regular Stretchable Denim Jeans%Off,1398,3495,60.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/95f15444b4f746fb8476c3b7cbbff3321copy_480x360.jpg,https://www.slikk.club/bottom wear/jeans/DOLCE CRUDO/Women-s-White-Wide-Leg-High-Rise-Clean-Look-Regular-Stretchable-Denim-Jeans/797564416199,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.967237
OFF,DUTY INDIAClaw Strike Baggy Wide Leg Jeans - Black%Off,1691,1990,15.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/06ca074e272b427191e2de2f30c7efd5IMG1247_480x360.jpg,https://www.slikk.club/bottom wear/jeans/OFF DUTY INDIA/Claw-Strike-Baggy-Wide-Leg-Jeans-Black/73813378298,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.967718
SassafrasBeige,Box Pocket Straight Premium Jeans%Off,1049,2199,52.3%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/SFJEAN06561_6f81fc0a1e3541f7a7569c04ab58d2a5.jpg,https://www.slikk.club/bottom wear/jeans/Sassafras/Beige-Box-Pocket-Straight-Premium-Jeans/8905485711248,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.968200
High,StarHigh Star Women High-Rise Mom fit Heavy Fade Jeans%Off,753,4499,83.26%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/d0f5dc7709784c138589033eba348260HSWJNS2409IG147_480x360.jpg,https://www.slikk.club/bottom wear/jeans/High Star/High-Star-Women-High-Rise-Mom-fit-Heavy-Fade-Jeans/8905836789773,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Jeans,Bottom_Wear,Jeans_Women,1,2025-08-11T10:49:49.968662
