brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
BONKERS,CORNERHello Kitty Periwinkle Skirt,799,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/2500448d244e465793ef726bb3e8edcfBonkerscornerhellokittyperiwinkleskirt3_625e88ca4410414cb541228cb44dc0d1.jpg,https://www.slikk.club/bottom wear/skirts/BONKERS CORNER/Hello-Kitty-Periwinkle-Skirt/8904413491443,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:22.998187
URA,STREETWomen Black|Green Slim-Fit Printed Maxi Skirt%Off,1499,2999,50%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/4ba5d54976554940a39e2bfbff71c867172ac4b633928408f84c6478bcb58c036640xcropcenter_80c62ffd59644685a1398feda24ed83e.png,https://www.slikk.club/bottom wear/skirts/URA STREET/Women-Black-Green-Slim-Fit-Printed-Maxi-Skirt/8903905718365,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:22.998592
Sands,Of IndiaClassic Straight-Cut Skirt-,1949,2999,35%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x384/22b0de84adad46a7a589fe03420e8c50SOIMATSSIO142_bbcac80f21e14b5390283ab02a0a659e.jpg,https://www.slikk.club/bottom wear/skirts/Sands Of India/Classic-Straight-Cut-Skirt-2940/SISK01709240L,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:22.999022
URA,STREETWomen Multicolor Slim-Fit Abstract Print Maxi Skirt%Off,1499,2999,50%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/96894b5721f94c7188fa6838cc4d9c9cUUWKK297SL506002F640xcropcenter_369b0bc34cc44066ab1367bcf88e587d.png,https://www.slikk.club/bottom wear/skirts/URA STREET/Women-Multicolor-Slim-Fit-Abstract-Print-Maxi-Skirt/8903905718303,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:22.999430
B,For BottomsA-line mini skirt in Purple Oak%Off,899,1099,18%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x336/473a6421a7b0dc4ba39d76d6843e0b03e9_480x336.jpg,https://www.slikk.club/bottom wear/skirts/B For Bottoms/A-line-mini-skirt-in-Purple-Oak/101562326452,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:22.999832
Burger,BaeTennis Skirt Black%Off,899,2499,64%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x359/DSC15261100x_480x359.jpg,https://www.slikk.club/bottom wear/skirts/Burger Bae/Tennis-Skirt-Black/413481646243,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.000231
TorqadornDeep,Purple Sequins Skirt,2150,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x319/DSC02551copy_480x319.78378378378375.jpg,https://www.slikk.club/bottom wear/skirts/Torqadorn/Deep-Purple-Sequins-Skirt/617136180029,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.000631
TorqadornFuschia,Satin Skirt,3495,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x319/1_4e830f8e-11e6-4c7a-bca4-d30d48ba2abd_480x319.9699981248828.jpg,https://www.slikk.club/bottom wear/skirts/Torqadorn/Fuschia-Satin-Skirt/646415454993,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.000954
Sands,Of IndiaDark Green Classic Straight-Cut Skirt-,1949,2999,35%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x384/9824e66d8044405bb160e1506540c482SOIMATSSIOA2_83ef025143274734ba563088d5c7505a.jpg,https://www.slikk.club/bottom wear/skirts/Sands Of India/Dark-Green-Classic-Straight-Cut-Skirt-2939/SISK0170824XS,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.001265
OUTZIDROlive,Flared Skirt,699,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x359/673a09c5369409674daa9d4b985f9e28_b6c400d024dd423f9cd8bcda8e954dbd.jpg,https://www.slikk.club/bottom wear/skirts/OUTZIDR/Olive-Flared-Skirt/641204585022,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.001671
Dressy,DaiquiriMidnight Skirt,1599,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x375/652c1398881844cc81a8208fc6f4b627Midnight1copy_480x375.jpg,https://www.slikk.club/bottom wear/skirts/Dressy Daiquiri/Midnight-Skirt/840283487970,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.001988
the,missy coEve Black Maxi Skirt,3600,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x384/S0261_480x384.jpg,https://www.slikk.club/bottom wear/skirts/the missy co/Eve-Black-Maxi-Skirt/126014119063,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.002433
Dressy,DaiquiriAMALFI SKIRT,1599,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x319/Amalfi10copy4ece79cdb4eb430d8f6a197db7469e75_480x319.jpg,https://www.slikk.club/bottom wear/skirts/Dressy Daiquiri/AMALFI-SKIRT/278839803811,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.002842
B,For BottomsA-line mini skirt in Raisin%Off,899,1099,18%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x336/454f94955c8536491a80d7edc0f9cade5b_480x336.jpg,https://www.slikk.club/bottom wear/skirts/B For Bottoms/A-line-mini-skirt-in-Raisin/535119279610,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.003275
Sands,Of IndiaClassic Straight-Cut Skirt-,1949,2999,35%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x384/c07e2defdf89456cbb7c020a8fb7fd59SOIMATSSIO2_ae886fc29be3400d8ef909556ef9243c.jpg,https://www.slikk.club/bottom wear/skirts/Sands Of India/Classic-Straight-Cut-Skirt-2941/SISK01710240M,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.003685
BeegleePurple,ribbed knit skirt%Off,590,990,40%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/lilacribbedknitskirt590436_480x320.jpg,https://www.slikk.club/bottom wear/skirts/Beeglee/Purple-ribbed-knit-skirt/684915317004,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.004093
Code,61Checkered Faux Leather Skirt%Off,799,1599,50%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/e4d306b286d441b9907096e29118e0dc23071590011_b6d02bdd114e4465a1d64e5d26c51e72.jpg,https://www.slikk.club/bottom wear/skirts/Code 61/Checkered-Faux-Leather-Skirt/2307159001,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.004489
Dressy,DaiquiriDahlia Skirt,1999,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x319/b7e33cf3059e4a0195c0dedae0431918Dahliaskirtd83cd2333eec490eb11795050dd91687_480x319.jpg,https://www.slikk.club/bottom wear/skirts/Dressy Daiquiri/Dahlia-Skirt/265728354213,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.004904
TorqadornDusty,Rose Sequins Skirt%Off,1935,2150,10%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/TASS2002_1-1_480x320.0.jpg,https://www.slikk.club/bottom wear/skirts/Torqadorn/Dusty-Rose-Sequins-Skirt/869966387723,https://www.slikk.club/products?division=WOMEN&category=Bottom%20Wear&subcategory=Skirts,Bottom_Wear,Skirts_Women,1,2025-08-11T13:59:23.005216
