brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
OUTZIDRPeach,Checkered Tiered Dress,799,799,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/489101e006a24a33a31e7e1c0ad291a62cdba8ad5ff1b458692008eb0e7dbcfb4_3363e7fa6dd5417491d8314c9e02a2ab.jpg,https://www.slikk.club/dresses/mini/OUTZIDR/Peach-Checkered-Tiered-Dress/WMNA0012301252606,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.345276
OUTZIDRGrey,Solid Washed Tank Dress,449,449,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/f8652e7ba1474570ad704418a5cf6fc340c9469c61457433599499a2e49ddfd5a_0df26c4485bb4d6aaed772c04488a60c.jpg,https://www.slikk.club/dresses/mini/OUTZIDR/Grey-Solid-Washed-Tank-Dress/WMNA0012801252304,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.345623
Label,Shaurya SanadhyaYellow Ruffle Short Dress%Off,1688,2250,24.98%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x384/four_480x384.0.jpg,https://www.slikk.club/dresses/mini/Label Shaurya Sanadhya/Yellow-Ruffle-Short-Dress/720749044951,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.345869
Burger,BaeEuphoria Dress%Off,799,2499,68.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x480/euphoria-dress-all-colors-burgerbae-9_550x_480x480.0.jpg,https://www.slikk.club/dresses/mini/Burger Bae/Euphoria-Dress/203301636789,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.346151
The,Souled StoreJacquard Knit Dress: Florentina%Off,949,1999,52.53%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/de11df40c4284c3b9da8f51fa131161217335580616856008_480x360.jpg,https://www.slikk.club/dresses/mini/The Souled Store/Jacquard-Knit-Dress-Florentina/14770098710,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.346416
FreakinsClassic,Front Buttoned Dress%Off,1799,4199,57.16%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x319/d5dff50b4c4940a896b3bcb2317e0015DSC2732_480x319.jpg,https://www.slikk.club/dresses/mini/Freakins/Classic-Front-Buttoned-Dress/909343662225,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.346687
SassafrasGreen,Rib Waist Cut Out Bodycon Dress%Off,683,1799,62.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/SFDRSS111251_9fc6c2445e58403b80b06e892448a049.jpg,https://www.slikk.club/dresses/mini/Sassafras/Green-Rib-Waist-Cut-Out-Bodycon-Dress/8905485385043,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.346956
Campus,SutraWomen's Midnight Blue Cutout Checkered Dress%Off,1249,2499,50.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/SSUM23CSWSSDR55791e5a29c1113654be896da37cc7027ce4d_de435ab4d82541d8acf4c065bdf97485.jpg,https://www.slikk.club/dresses/mini/Campus Sutra/Women-s-Midnight-Blue-Cutout-Checkered-Dress/433320631806,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.347229
drippinhotCotton,Midriff Cutout Mini Dress%Off,1499,2499,40.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x270/36c87200b4c7487291ade474c7e46a4fDrippinHotCampaignDay14378copy1_a8b3d52431b044869531a7767d39ba08.jpg,https://www.slikk.club/dresses/mini/drippinhot/Cotton-Midriff-Cutout-Mini-Dress/4180,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.347501
OUTZIDRWhite,Ruffle Sleeved Mini Dress,949,949,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/3dec44793e8845846b472e334fc041eb_76c7588406614044ae36a9c86d8d5f3b.jpg,https://www.slikk.club/dresses/mini/OUTZIDR/White-Ruffle-Sleeved-Mini-Dress/488345665668,https://www.slikk.club/products?division=WOMEN&category=Dresses&subcategory=Mini,Dresses,Mini,1,2025-08-11T17:54:24.347770
