brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
BinksZohra,x Luxe | Bottle Green Saree Blouse w| FlexiFit™ Side Seam%Off,3338,4450,24.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/6f157324ff8144b58a6465c97ec70c34BinksSareeBlouseZohraBottleGreenLuxeXS1_d51c5e796a0a413a89bd29aa43b7a3bf.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Binks/Zohra-x-Luxe-Bottle-Green-Saree-Blouse-w-FlexiFit-Side-Seam/213371605744,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.111667
VamasVamas,Women's Net Padded Back Open Sleeveless Saree Blouse,1999,1999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/3a6ea6c5d487473496a43ac1ca44014aVFJ256OFFWHITEHF_bdf3613b3ee944f4ad26aee3a386ea12.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Vamas/Vamas-Women-s-Net-Padded-Back-Open-Sleeveless-Saree-Blouse/8908641095800,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.112226
VamasVamas,Women's Mulbury Silk Padded Front Open Elbow Sleeves Saree Blouse,1999,1999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/e0c7f3fb4ce34202a983e70b98fee2d9KP272_0e90c092d3944163b574aba4677d640c.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Vamas/Vamas-Women-s-Mulbury-Silk-Padded-Front-Open-Elbow-Sleeves-Saree-Blouse/8908675644487,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.112632
VamasVamas,Women's Net Padded Back Open Full Sleeves Saree Blouse,2999,2999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/b4d79cda2a074f19b4e8ff36d8d80e7fB132_ccc713e5961a47199cf3b9c3d7ad241a.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Vamas/Vamas-Women-s-Net-Padded-Back-Open-Full-Sleeves-Saree-Blouse/8908675899887,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.113003
VamasVamas,Women's Shimmer Padded Back Open Sleeveless Saree Blouse,1499,1499,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/51e97c18f7d341fd816ff32429193925SP01BLACKHF_1c94d4edee0a4b639e702bcfa145c29c.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Vamas/Vamas-Women-s-Shimmer-Padded-Back-Open-Sleeveless-Saree-Blouse/8908675381535,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.113353
BinksFarida,x Rozaana | Regular Sleeves Saree Blouse in Raven Black%Off,1575,2100,25.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/0b9882f325084471ab6fe0ac4160f1a8BinksSareeBlouseFaridaRavenBlackRozaanaXS1_3d67e46e39574c55bad2a20bb8cca8f1.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Binks/Farida-x-Rozaana-Regular-Sleeves-Saree-Blouse-in-Raven-Black/476691836051,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.113708
BinksRekha,x Rozaana | Long Saree Blouse in Lilac%Off,1613,2150,24.98%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/928c8fb6913b4e8e90870c857ea6e38cBinksSareeBlouseRekhaLilacRozaanaXS1_5074248cb0eb4d4a8e20ca2f3f29b44d.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Binks/Rekha-x-Rozaana-Long-Saree-Blouse-in-Lilac/101306138712,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.114127
VamasVamas,Women's Dupion Silk Padded Front Open Elbow Sleeves Saree Blouse,775,775,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/d61545e5c83143e796d81cf93aba65fcCO193_9fb56cd552d743c69d9a77c1bf71a97f.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Vamas/Vamas-Women-s-Dupion-Silk-Padded-Front-Open-Elbow-Sleeves-Saree-Blouse/8908674856263,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.114564
BinksDamini,x Rozaana | Raven Black Elbow Sleeves V-Neck Saree Blouse%Off,1575,2100,25.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/28d23f0f5672491d8624e5017c741820BinksSareeBlouseDaminiRavenBlackRozaanaXS1_e97e46ef56994a4583eebe4bf58d0d51.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Binks/Damini-x-Rozaana-Raven-Black-Elbow-Sleeves-V-Neck-Saree-Blouse/852232127981,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.114928
VamasVamas,Women's Silk Padded Back Open Sleeveless Saree Blouse,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/d7db7d5ba61c4835b2d01cec3613bbfaX1000NSBLACKHF_5764febfd90d4d47abf92e7ff016630c.jpg,https://www.slikk.club/ethnic & fusion wear/blouses/Vamas/Vamas-Women-s-Silk-Padded-Back-Open-Sleeveless-Saree-Blouse/8908675490244,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Blouses,Ethnic & Fusion Wear,Blouses,1,2025-08-11T19:10:27.115358
