brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
Go,ColorsGo Colors Women's White Nylon Shimmer Churidar Leggings,699,699,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/d75c6d31c090444ab5224255f3c701d7LC02WHITE742_9747995b12344efda061c9b087d804c0.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-White-Nylon-Shimmer-Churidar-Leggings/8905344335776,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.550662
Go,ColorsGo Colors Women's White Cotton Churidar Leggings,599,599,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/203e5e2825a947f8906ab99653ba9c7fLCWHITE741_f64bf50109a54d599b1357ef369bba28.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-White-Cotton-Churidar-Leggings/8905344069237,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.550992
Go,ColorsGo Colors Women's Silver Nylon Shimmer Churidar Leggings,699,699,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/dc64b037cf3343afae4d70b7d2244a7fLC02SILVER1151_000e5d3c0a4b4cec86322c74a46c0f28.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-Silver-Nylon-Shimmer-Churidar-Leggings/8905344129924,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.551272
IMARASolid,Off-White Straight Pant%Off,839,1399,40.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/11921b57902ac8472d8c3f24f8a83c24a4_f89287f7e4094ed5a2cb39da2cbc627d.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/IMARA/Solid-Off-White-Straight-Pant/8905882004127,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.551530
Go,ColorsGo Colors Women's Solid White Woven Viscose Mid Rise Palazzos,949,949,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/ec16fb5a4ed441e9991b5db5d6f7ee163947f2d8e19e3459b8f90fb87f2773f61_92c6d81416824674b9990f22d05dc9da.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-Solid-White-Woven-Viscose-Mid-Rise-Palazzos/8905344289017,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.551884
Go,ColorsGo Colors Women's Solid White Cotton Kurti Pants,899,899,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/ff493b5e3e0142469a5b2d68aa028669LPT1WHITE744_f813bf2b23e348829a889cf9cf55d57a.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-Solid-White-Cotton-Kurti-Pants/8905344291980,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.552135
Go,ColorsGo Colors Women's Cream Cotton Churidar Leggings,599,599,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/246250f3ded44862b6acabb917f9b26eLCCREAM483_54152aecdd6b4536af974baab8cfc31b.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-Cream-Cotton-Churidar-Leggings/8905344066717,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.552587
Go,ColorsGo Colors Women's Black Cotton Stretch Churidar,799,799,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/4aed754493e6444faab8e9cb9854f260LCBLACK733_802d2990690046afa7abc06463968114.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-Black-Cotton-Stretch-Churidar/8905344325845,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.552905
Go,ColorsGo Colors Women's Black Cotton Stretch Kurti Pants,1199,1199,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/4ab659fc39f14bd69e301cff98d387aeLPT1BLACK732_ce277b1ada3c4aa4b1abf2d9a334f3b1.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-Black-Cotton-Stretch-Kurti-Pants/8905344326828,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.553158
Go,ColorsGo Colors Women's Solid Black Harem Pants,899,899,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/9558338340624ff69a9775c9b2fb55c6LH01BLACK732_2a47f2ac8b7c45baaabd8827e605c20f.jpg,https://www.slikk.club/ethnic & fusion wear/bottoms/Go Colors/Go-Colors-Women-s-Solid-Black-Harem-Pants/8905344069510,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Bottoms,Ethnic & Fusion Wear,Bottoms,1,2025-08-11T18:12:30.553417
