brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
Tikhi,ImliGrey Colour Silk Blend Tonal Seuiqnns Embroidey Work Tunic With Trouser Set%Off,1849,5663,67.35%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/468d78b3371c41ae9a1976a316c95020Coords90631_1a882459e9fb4f53801345320381a13b.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Tikhi Imli/Grey-Colour-Silk-Blend-Tonal-Seuiqnns-Embroidey-Work-Tunic-With-Trouser-Set/907953304279,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.770219
Label,FlaviaGreen Abstract Print Co-ord Set%Off,1299,5499,76.38%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x270/LF10401_dcace5d5e12c48c996d009e7a805b4ed.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Label Flavia/Green-Abstract-Print-Co-ord-Set/788153949545,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.770608
Label,FlaviaPink Jungle Cotton Co-ord Set - Top & Trousers%Off,999,5499,81.83%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/31b7985a3469c4c46acd726f3873d5c2f_8360b3307ea34ad49b89eb93b85bccae.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Label Flavia/Pink-Jungle-Cotton-Co-ord-Set-Top-Trousers/732661690223,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.770926
Tikhi,ImliEmbroidered Tunic With Trousers Co-Ords%Off,1870,3598,48.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/3d06131eeb684e47bb41701c33d6749590422_ee0c47af4a2d4bb18db9d84f8df7b956.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Tikhi Imli/Embroidered-Tunic-With-Trousers-Co-Ords/310909728927,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.771246
Label,FlaviaWhite Multi color Jungle Organic Printed Pure Cotton Loungewear Set%Off,999,5499,81.83%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/1a563b64948a648c899228f2aafd59f21_7d927ffb5c1d4efab6ed9dcf8812f813.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Label Flavia/White-Multi-color-Jungle-Organic-Printed-Pure-Cotton-Loungewear-Set/751198130323,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.771553
Ethnic,ElementsStitched 2pc Cotton Suit Set -Chalk Whisper%Off,2999,6999,57.15%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x384/0fcba6791759437e86207fbf9207381e67_3efa5d2444544d42bde47f41b7bbe2e4.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Ethnic Elements/Stitched-2pc-Cotton-Suit-Set-Chalk-Whisper/311780415943,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.771855
Label,FlaviaTrendy Black Animal Print Cotton Dream Co-Ord Set â€“ Bold & Chic%Off,999,5499,81.83%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/747a0323d8e894181b3fee2fea9dbfe9b_3a3cfcdfc6d64594b4087f916428a5bc.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Label Flavia/Trendy-Black-Animal-Print-Cotton-Dream-Co-Ord-Set-Bold-Chic/516800088193,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.772161
Label,FlaviaChic Black Co-Ord Set with Contrast Stitching â€“ Trendy & Elegant%Off,1299,5499,76.38%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/LF5635_64869650f9e944c7a5c13d120feedb25.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Label Flavia/Chic-Black-Co-Ord-Set-with-Contrast-Stitching-Trendy-Elegant/543108107851,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.772465
Alaya,By Stage3Sajda Onion Pink Embroidered Shirt Set%Off,3102,4550,31.82%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/ced0270db0f44a5b95d048d38aec3ef981e26cf4e2911476ab76dca95ee0f8899_0ed2746b0ea9483fb38f03b486286a5e.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Alaya By Stage3/Sajda-Onion-Pink-Embroidered-Shirt-Set/SSS20326,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.772764
Label,FlaviaRust Orange Floral Co-ord Set%Off,1299,5499,76.38%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x270/lf10372_1a05a3347f7946399deeb8c213c5a8d7.jpg,https://www.slikk.club/ethnic & fusion wear/co-ords/Label Flavia/Rust-Orange-Floral-Co-ord-Set/264846949079,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Co-Ords,Ethnic & Fusion Wear,Co-Ords,1,2025-08-11T19:22:06.773071
