brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
House,Of KariKashmiri Aari Work Cotton Kurta Jacket   Black%Off,3199,4999,36.01%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/2a7ad1f34a2c4d29bbb4403e34b276a7IMG20250128WA0001_66eef3a658f849c6a11a42e3c8636f89.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/House Of Kari/Kashmiri-Aari-Work-Cotton-Kurta-Jacket-Black/732306039337,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.387768
Alaya,By Stage3Sajda Champagne Mirrorwork Kurta Set%Off,2507,3700,32.24%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/f19d2b4872ba4c55bc5bf98736a0ffc49064554b3b8de4db8928712d5b20361f5_07a66320dfc24ef1bf5d7ca1e7e3f22e.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/Alaya By Stage3/Sajda-Champagne-Mirrorwork-Kurta-Set/SSXL20344,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.388117
House,Of KariPrintkari Poly Muslin Co-ord set in Black%Off,2799,4999,44.01%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/1939447fca624f09a18cf087d4019cefDSC02550_4d71c10356fc41149563f7e9bb6d39fc.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/House Of Kari/Printkari-Poly-Muslin-Co-ord-set-in-Black/258437251688,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.388409
House,Of KariKashmiri Aari Work Cotton Kurta Set - Beige With White%Off,3399,6999,51.44%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/620f431c47b141928b6fa1bdaefd2b6eDSC02498567d91bdb3194687ad0ca7545c3ed283_a6517dc125f14fb69780a49b739d69be.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/House Of Kari/Kashmiri-Aari-Work-Cotton-Kurta-Set-Beige-With-White/393993720069,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.388698
IMARABrown,Embroidered Kurta Set%Off,1600,3999,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/6dadc070845ea4e83ab76f0a5d9042a01_02c76a8704fb44418d0e79f55ea2073c.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/IMARA/Brown-Embroidered-Kurta-Set/8905882003762,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.388980
SHREEShree,Women Liva (Rayon) Green Floral Print Kurti%Off,974,1299,25.02%,https://slikk-dev-assets-public.s3.ap-south-1.amazonaws.com/product/11164d4392124fa5a8dbb620e7462324_1.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/SHREE/Shree-Women-Liva-Rayon-Green-Floral-Print-Kurti/8907237895749,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.389262
IMARATeal,Printed Kurta Set%Off,1320,3299,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/3f9606716116649d8b6e2b0494d39190e_ef137c6b6eea4027b19d2e51e99f875e.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/IMARA/Teal-Printed-Kurta-Set/8905882027867,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.389541
Alaya,By Stage3Alaya Noor Luxe Affair Black Cocktail Set%Off,4207,6200,32.15%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/dc4869c20502447391cac2a029119a80Alaya1866_5b90c74112d74bcdb275df79ccdf3cdb.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/Alaya By Stage3/Alaya-Noor-Luxe-Affair-Black-Cocktail-Set/ANBL20612,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.389812
SassafrasWhite,Floral Cambric Kurta With Pencil Pants & Dupatta%Off,1439,3999,64.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/SHSET962911_909fd89f3cb841ee9a552047a6d5dc42.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/Sassafras/White-Floral-Cambric-Kurta-With-Pencil-Pants-Dupatta/8905485780329,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.390086
IMARAMonochrome,Black Kurta Set%Off,1799,2999,40.01%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/6389e25cd86e74c668e1a41017304748d_6c4078b7cec14bb9a1d9128a185c242e.jpg,https://www.slikk.club/ethnic & fusion wear/kurta sets/IMARA/Monochrome-Black-Kurta-Set/8905882034544,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Kurta%20Sets,Ethnic & Fusion Wear,Kurta Sets,1,2025-08-11T19:18:05.390359
