brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
PikhamLycra,Saree With Heavy Border%Off,1995,3999,50.11%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1749889301356d79c84c604f743c4DB418B2918F59EF4C215E8B5360E8890_b68670ccce9245579d3ea6aa985d8183.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Pikham/Lycra-Saree-With-Heavy-Border/289583249624,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.218859
Bandhani,VillaPremium ethnic wear Bandhani Saree%Off,1369,4107,66.67%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/fa4b6394998747ef89a0be1e2aefbb161_8a981341d2f343e98229806b39a9e887.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Bandhani Villa/Premium-ethnic-wear-Bandhani-Saree/995048507712,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.220834
Ethnic,ElementsKnight Black Mul Cotton Saree%Off,1799,4599,60.88%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x393/6734a606675b4d87892b7f53919db826WhatsAppImage20241016at1_4f62fffc6bde475a85fc4b8552366bfe.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Ethnic Elements/Knight-Black-Mul-Cotton-Saree/886821188739,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.222974
PikhamBanarasi,Silk Saree With Jacquard Base Blouse%Off,599,3999,85.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1751445410495d79c84c604f743c43EF1E0AFC813603731E01339E9476909_d87eaca9eed443b294a02172afef718d.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Pikham/Banarasi-Silk-Saree-With-Jacquard-Base-Blouse/431709733764,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.224709
TeejhTeejh,Ariata Golden Kerala Tissue Kasavu saree%Off,1079,5199,79.25%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/3745c5152d5d4d7ca7453d0ce82fd723TES3214_30b49ac46786467bac66cde77b8b8a2e.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Teejh/Teejh-Ariata-Golden-Kerala-Tissue-Kasavu-saree/8905721234234,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.226165
Bandhani,VillaPremium ethnic wear Bandhani Saree%Off,1549,4647,66.67%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/9f3f7bc4077346709c70d66898c65bbe2_798fd53369f94e179c8ed2be764643c6.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Bandhani Villa/Premium-ethnic-wear-Bandhani-Saree/442930456782,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.227256
PikhamLatest,Organza Embroideried Saree%Off,1995,3999,50.11%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1749889379072d79c84c604f743c4D1F8EE6C6D71D55DF4478C7F1FE84AC1_21937c46e0124565982b8e9b99938d3f.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Pikham/Latest-Organza-Embroideried-Saree/925868795409,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.228722
PikhamNew,Lycra Foil Printed Saree%Off,1995,3999,50.11%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1749889396120d79c84c604f743c4B80508F8E90BEFF08F6779E9F5FC5752_356ef8cfa52f4189900bc3dc072cb4da.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Pikham/New-Lycra-Foil-Printed-Saree/489391608393,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.230493
Bandhani,VillaPremium ethnic wear Bandhani Saree%Off,1049,3147,66.67%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/5bf60fc49cd049e094c21bd7bbff82f0RangoliLeavesYellowRed1_13265dd9e078448fabdefda515de2717.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Bandhani Villa/Premium-ethnic-wear-Bandhani-Saree/664682693150,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.232263
Bandhani,VillaPremium ethnic wear Kanjivaram Grey Saree%Off,1399,4197,66.67%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/8014d789860546688f689852fbf011a76_984bea208d384dffb0e2e4b12d02e213.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Bandhani Villa/Premium-ethnic-wear-Kanjivaram-Grey-Saree/689964501157,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.234036
Bandhani,VillaPremium ethnic wear Ajrakh Maroon Saree%Off,2999,8997,66.67%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/cbda6992240a46d9b1d9c63a898e696e2_8ab208ea7bae4f65a492cb58014f9ae2.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Bandhani Villa/Premium-ethnic-wear-Ajrakh-Maroon-Saree/308111450401,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.235798
Bandhani,VillaPremium ethnic wear Ajrakh Coffee Saree%Off,2999,8997,66.67%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/7dd401e8cf584d0cadf07fe3dd8a23372_13c81e177a4b4a82811d6f47fde41ab3.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Bandhani Villa/Premium-ethnic-wear-Ajrakh-Coffee-Saree/898916107188,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.237556
Tikhi,ImliReady to wear green colored woven design saree with tassles on pallu%Off,1699,5663,70.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/b282aa4de54f4c7b9446c6d96ca8c5b9TI69701_f0d87a5dc9384716bb3780a17081a01a.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Tikhi Imli/Ready-to-wear-green-colored-woven-design-saree-with-tassles-on-pallu/704565714556,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.239700
PikhamLycra,Saree With Heavy Border%Off,1995,3999,50.11%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1749889303532d79c84c604f743c4293AC999E9661788A9FFBECFE5E76A96_ef05e7fd0c8841f78966d7f6181bffa8.jpg,https://www.slikk.club/ethnic & fusion wear/sarees/Pikham/Lycra-Saree-With-Heavy-Border/303001231939,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Sarees,Ethnic & Fusion Wear,Sarees,1,2025-08-11T19:06:51.241406
