brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
IMARAMint,Printed Tiered Dress%Off,2400,5999,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/9964e0b3050e840348ffecb1f128e270e_d581a1ceb0064bcfbe95b6ae66685ba7.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Mint-Printed-Tiered-Dress/8905882029939,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.104425
Label,FlaviaLemon Bliss Cotton Tunic Top â€“ White & Yellow%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT131_f40c9ea5483f4ebc925e541fec5bbd36.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Lemon-Bliss-Cotton-Tunic-Top-White-Yellow/228879615381,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.105688
Label,FlaviaFloral Splash Cotton Tunic Top â€“ Multicolor%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT141_63b45972002d4e9dbc7cd8ac652cde81.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Floral-Splash-Cotton-Tunic-Top-Multicolor/269909683004,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.106799
IMARAEmbroidered,Detail A-Line Ethnic Dresses With Dupatta%Off,1800,4499,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/eaf43375b93848f6813e18010258f312download_3a4ab028acb544a1a2eaf43b48f03290.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Embroidered-Detail-A-Line-Ethnic-Dresses-With-Dupatta/8905882025764,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.108889
Label,FlaviaBlossom Breeze Cotton Tunic Top â€“ Pink & Multi Leaf Print%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT121_88d45d6e85cc44bf9fa8a41601ac5caf.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Blossom-Breeze-Cotton-Tunic-Top-Pink-Multi-Leaf-Print/936570033319,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.111607
IMARAViolet,Gathered Printed Kurta%Off,800,1999,59.98%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/710b214eec02c40048d7c832bff146877_c7c987ec5c44490b91f86770500c794d.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Violet-Gathered-Printed-Kurta/8905882030195,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.112922
IMARAOff,White Printed Flared Top%Off,640,1599,59.97%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1e034923a24244d3c9c340bc555a02f01_a278bf8b2e6746f0a27e985ed824a70d.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Off-White-Printed-Flared-Top/8905882024859,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.114043
Label,FlaviaIndigo Charm Cotton Tunic Top â€“ Navy Blue with White Handblock Print%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT0617c2c886e9efd401f8ac779c462cfe6f3_c243df00a5704f7b83c881d02abfb274.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Indigo-Charm-Cotton-Tunic-Top-Navy-Blue-with-White-Handblock-Print/48181319721,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.115812
IMARABlue,Flared Printed Top%Off,779,1299,40.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/6176bd1d8d00649dbb708c51d12febbc2_21c53ae3a5614e4486fa68d9d7339533.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Blue-Flared-Printed-Top/8905882026150,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.118185
IMARAFuchsia,Printed Sleeveless Tiered Dress%Off,1120,2799,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/61f432bb29f92431c8a1e4ce645fcc204_fe658b3104594da2aa1df9a0c8a6ad27.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Fuchsia-Printed-Sleeveless-Tiered-Dress/8905882027140,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.120225
Alaya,By Stage3Alaya Cairo Pink Classic Top%Off,731,1800,59.39%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/9c9896836b7c4b6ea7c7da6107f94ce4AlayaMay2424_aeaec5020dc14666bd2a1d50b758d3a0.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Alaya By Stage3/Alaya-Cairo-Pink-Classic-Top/ACPL20920,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.122226
IMARATurquoise,Flared Dress%Off,1120,2799,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/656ac0cf2cff64a7e8bf36324e79bc228_e1fccf6149524ecf9574f0796ef51248.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Turquoise-Flared-Dress/8905882035824,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.124140
IMARAIndigo,Printed Rayon A-Line Dress%Off,800,1999,59.98%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1646ef9509db04fec8ed88e7fa183f5fb_202a996ff2eb40cba59a7ae6bcf0868c.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Indigo-Printed-Rayon-A-Line-Dress/8905882032649,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.126406
Label,FlaviaVintage Garden Cotton Tunic Top â€“ Off-White with Autumn Floral Print%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT072_747ecc742aae45c68c08d4c593646687.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Vintage-Garden-Cotton-Tunic-Top-Off-White-with-Autumn-Floral-Print/161352652744,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.127974
Alaya,By Stage3Alaya Mehfil Sunshine Kaftan Set%Off,4207,5950,29.29%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/ed49339fc9314108ad04eaa9b9b8c4fd2T3A1219_7a5379d10e1745278021ef2c0cf86c99.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Alaya By Stage3/Alaya-Mehfil-Sunshine-Kaftan-Set/AMY21350-XL,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.130262
IMARAGreen,Printed Tiered Kurta%Off,1499,2499,40.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/78bbb8f588b2e4c0894bdee8af605d9ca_cc7b03d23a2e493caa898bf1d0690fbc.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Green-Printed-Tiered-Kurta/8905882027591,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.132722
IMARAIndigo,Rayon A-Line Top%Off,720,1799,59.98%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1f194562526ff4360b93d5919cc2f980c_3ca39dc532c4469297bca776752fa53d.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Indigo-Rayon-A-Line-Top/8905882033349,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.134311
Label,FlaviaPastel Bloom Cotton Tunic Top â€“ Pink & Blue Floral Print%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT111_b29c1ee493a140e68359eb11e4bc89c7.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Pastel-Bloom-Cotton-Tunic-Top-Pink-Blue-Floral-Print/510292284925,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.135400
IMARAEthnic,Motifs Printed Empire Top%Off,779,1299,40.03%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/11801a7da077c24870955702d67a7a191e_c6e0f2a0d8e14e0ca711eae418c7abf9.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Ethnic-Motifs-Printed-Empire-Top/8905882005223,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.137434
COTTON,CULTUREMustard Rayon Embroidered Flared Short Kurta,999,999,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/2071b4c6bbb8448797aeef442e02d10ePRAGATISHORTMUSTARD1_632a55b7430241d69cb035e9f2c7c916.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/COTTON CULTURE/Mustard-Rayon-Embroidered-Flared-Short-Kurta/8907724250082,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.139106
NishoramaYashodha,Midi Dress,1649,1649,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x359/672f94f45e38b4580a81bbe5c9b812f98_480x359.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Nishorama/Yashodha-Midi-Dress/321822583666,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.140177
Label,FlaviaBotanic Charm Cotton Tunic Top â€“ White with Green & Blue Floral Print%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT101_9f31d8b8bbad4c9bb23094bab33ca1cd.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Botanic-Charm-Cotton-Tunic-Top-White-with-Green-Blue-Floral-Print/342980283338,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.141483
IMARAFloral,Printed Cotton Pleated Kurti%Off,520,1299,59.97%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/117cb1665e4b5540bc9d32b72f855567bd_8f25225e19b74023b0aa1be10a9abc10.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Floral-Printed-Cotton-Pleated-Kurti/8905882004202,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.144375
IMARAInk,Blue Tiered Dress%Off,1200,2999,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/53b0c8917616a4724af9616119e1ab7ec_28479acc70594b37a7f6a8d7ec27edeb.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Ink-Blue-Tiered-Dress/8905882024712,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.146710
IMARAGreen,Printed Rayon Asymmetric Dress%Off,720,1799,59.98%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/128660256608ff43398f8553502bb2be92_1bbd9f26f241486baf05745548ce4c6c.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Green-Printed-Rayon-Asymmetric-Dress/8905882035299,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.148670
IMARACoral,Flared Printed Top%Off,520,1299,59.97%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/635cb3952dff946dc98d3a6fb8896a43d_afb8072ddf8049159760350cf5414fbf.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Coral-Flared-Printed-Top/8905882026105,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.151327
IMARAOff,white Cotton Flared Top%Off,1079,1799,40.02%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/6dc62e013bdd449c993929a5137ff95c4_ccd59d3e0ba6472f8714711770e3dd1b.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Off-white-Cotton-Flared-Top/8905882037088,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.153487
COTTON,CULTUREMaroon Handloom Cotton Straight Printed Short kurta,799,799,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/38d0a7f4449a4fecae94ca8a4a470ecfPRERNASHORTMAROON1_7e35bd6d47aa4543b2e0fcc5153a1ac6.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/COTTON CULTURE/Maroon-Handloom-Cotton-Straight-Printed-Short-kurta/8907724238998,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,1,2025-08-11T19:03:07.154846
IMARAMint,Printed Tiered Dress%Off,2400,5999,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/9964e0b3050e840348ffecb1f128e270e_d581a1ceb0064bcfbe95b6ae66685ba7.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Mint-Printed-Tiered-Dress/8905882029939,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,2,2025-08-11T19:03:10.900619
Label,FlaviaLemon Bliss Cotton Tunic Top â€“ White & Yellow%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT131_f40c9ea5483f4ebc925e541fec5bbd36.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Lemon-Bliss-Cotton-Tunic-Top-White-Yellow/228879615381,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,2,2025-08-11T19:03:10.901231
Label,FlaviaFloral Splash Cotton Tunic Top â€“ Multicolor%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT141_63b45972002d4e9dbc7cd8ac652cde81.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Floral-Splash-Cotton-Tunic-Top-Multicolor/269909683004,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,2,2025-08-11T19:03:10.901650
IMARAEmbroidered,Detail A-Line Ethnic Dresses With Dupatta%Off,1800,4499,59.99%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/eaf43375b93848f6813e18010258f312download_3a4ab028acb544a1a2eaf43b48f03290.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/IMARA/Embroidered-Detail-A-Line-Ethnic-Dresses-With-Dupatta/8905882025764,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,2,2025-08-11T19:03:10.902046
Label,FlaviaBlossom Breeze Cotton Tunic Top â€“ Pink & Multi Leaf Print%Off,799,5499,85.47%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/LFT121_88d45d6e85cc44bf9fa8a41601ac5caf.jpg,https://www.slikk.club/ethnic & fusion wear/tops & tunics/Label Flavia/Blossom-Breeze-Cotton-Tunic-Top-Pink-Multi-Leaf-Print/936570033319,https://www.slikk.club/products?division=WOMEN&category=Ethnic%20%26%20Fusion%20Wear&subcategory=Tops%20%26%20Tunics,Ethnic & Fusion Wear,Tops & Tunics,2,2025-08-11T19:03:10.902432
