brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
Alaya,By Stage3Meher Garden Green Kaftan%Off,1691,3470,51%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/beb18a89a4ad45288342e2ac6db27176UntitledCapture0185_582502d12c9f43028e7e23156b58e90e.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Alaya By Stage3/Meher-Garden-Green-Kaftan/AMGXL2111,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.628271
Soul,InnateBora bora%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/d0e2f00e80694bf99383996d1c52a68b1L9A8650_480x320.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Bora-bora/688757079820,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.628900
Soul,InnateKullu%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/6cf41cf52e7e4d14ad3acfbf46b70db21L9A85751_480x320.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Kullu/396737917844,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.629308
Soul,InnateZARIN KAFTAN%Off,2499,2900,14%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/33f6e9816f01494d852eacf538461379BD0A7252_480x320.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/ZARIN-KAFTAN/744331853441,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.629723
RigoRigo,Light Blue Front Open Long Rib Shrug%Off,749,1499,50%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x359/6836659c3d884f37abbdbf7a0b6e758aWSHRG205167RSPic3bbc5af11091d4037bdc551ee09198302_c9baa9d3a80848a9a4814481e5b3aad9.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Rigo/Rigo-Light-Blue-Front-Open-Long-Rib-Shrug/979218320709,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.630123
RigoFront,Open Waffle Knit Long Shrug%Off,680,1699,60%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/WSHGR205166MainImage_f589a4b868494d52b6476d4df97c6ded.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Rigo/Front-Open-Waffle-Knit-Long-Shrug/753595926063,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.630519
Soul,InnateOrana%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/944fc2b27432489bbd03c6bd23b012b5IMG1230_480x360.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Orana/288310259090,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.630926
RigoRigo,Olive Green Front Open Long Rib Shrug%Off,749,1499,50%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x359/a683a352819f4b309bd6c1e293860ef1WSHRG205169RSMainPic323780e10c12436e8f2c27e3b737c98e_834860d89707480b8d1a9cb1fe499c56.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Rigo/Rigo-Olive-Green-Front-Open-Long-Rib-Shrug/520525076700,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.631320
Soul,InnateRed bijlee%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/bd0145054b4b41b69b96a2a5a5d19b62lightening_480x360.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Red-bijlee/960472191619,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.631719
Soul,InnateBonobo%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/45b77778099b4c2fb09c1275b29c0ada1L9A86281_480x320.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Bonobo/228303350341,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.632112
RigoRigo,Women Light Purple Waffle Shrug%Off,849,1699,50%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x359/3ca80033650249c0bee4fbc415e1781cWSHRG205170MainPic_6aa6b5a9f01340c38e5ea00326e47689.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Rigo/Rigo-Women-Light-Purple-Waffle-Shrug/472965668795,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.632508
RigoFront,Open Waffle Knit Long Shrug%Off,680,1699,60%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/WSHRG205164MainImage93929421a408486f959d9d0d017056e9_383dfe726dd641e0bbdbe9390bd159b8.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Rigo/Front-Open-Waffle-Knit-Long-Shrug/318327815959,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.632913
Soul,InnateMUSEUM OF MONUMENT KAFTAN%Off,2499,2900,14%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/629e8b55bd974c4c994a51705cadd9e6BD0A7276_480x320.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/MUSEUM-OF-MONUMENT-KAFTAN/67677537262,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.633307
Soul,InnateMuseum of Monuments Green%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/46fc938b1cbc4af2b9ec1435b96498761L9A8537_480x320.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Museum-of-Monuments-Green/108257177253,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.633698
Soul,InnateMuseum of Monuments Black%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/4ea184a52dee46efa94fcdc97fc8479f1L9A8525_480x320.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Museum-of-Monuments-Black/533755897796,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.634092
Soul,InnateZarin Velvet%Off,1900,3500,46%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1f134b1499ca4a63b3b531e37b84344czarin_480x360.jpg,https://www.slikk.club/top wear/cardigans & shrugs/Soul Innate/Zarin-Velvet/731591286786,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Cardigans%20%26%20Shrugs,Top_Wear,Cardigans_Shrugs_Women,1,2025-08-11T16:55:13.634483
