brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
Campus,SutraWomen's Multicolour Colourblocked Sweatshirt With Drawstring Waist%Off,949,1699,44%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/AW23CSWAWCT01411_286cae3bae2f4c5dbcb5d0212198a8aa.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/Campus Sutra/Women-s-Multicolour-Colourblocked-Sweatshirt-With-Drawstring-Waist/884294955270,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.179470
BONKERS,CORNERAll You Need Is Love Sweatshirt,1399,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/BonkersCornerAllYouNeedIsLoveSweatshirt8_15feb1c861654b60aa6a161dbd3a297f.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/BONKERS CORNER/All-You-Need-Is-Love-Sweatshirt/8904413490910,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.180046
CavaShadow,Visible Seam Sweatshirt%Off,899,1799,50%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/4c42bacb18094f1da5a965ad0beb3e0c1_2f6b81eac8bf4411af747611a12437bd.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/Cava/Shadow-Visible-Seam-Sweatshirt/8904468826665,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.180381
SILISOULOversized,"Zipper Hoodie Pure Cotton, Off White%Off",1249,4499,72%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/ec5769213ad64c7db7dc4c695bb9b50d4M6A3514_bca59cac90cb43b3a6528fb820338a52.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/SILISOUL/Oversized-Zipper-Hoodie-Pure-Cotton-Off-White/796113556782,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.180810
SILISOULOversized,"Zipper Hoodie Pure Cotton, Brown%Off",1249,4499,72%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/cbbfffd572774426a2e00e3d576dfdb64M6A3650_1c09326f26ac4bbcbd5294c2e8217110.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/SILISOUL/Oversized-Zipper-Hoodie-Pure-Cotton-Brown/131072807188,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.181235
freecultrBrick,Red Printed Crop Sweatshirt%Off,599,2999,80%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/Sweatshirt1_4f0c8797c69d4430a0d6fa6f9b9d2e83.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/freecultr/Brick-Red-Printed-Crop-Sweatshirt/5949998630101,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.181729
NeceSeraPink,Bamboo Terry Sweatshirt,1650,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/7cf3e376ce2d4b49928bb435f654d2a7230512708577ee0310dbf04be5a1f4d439f00b816f_b147624c129a485daaefa612a318b802.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/NeceSera/Pink-Bamboo-Terry-Sweatshirt/18047102.0,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.182208
SILISOULOversized,"Pullover Hoodie Pure Cotton, Off White%Off",1499,4499,67%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/87fce2748f0f4a3986cdd1cfe748f0ab4M6A3453_75b6322f4d77451fbcc65185006b2c5d.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/SILISOUL/Oversized-Pullover-Hoodie-Pure-Cotton-Off-White/655596685716,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.182556
NeceSeraPink,Terry Travel Hoodie,2450,,,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/a2e153c43e9840ca9924167c6fa2aacbNecesera121813902c1f60c447b0ac3c411cbe882923_6cd26e70e94a4652833696853b9c0e27.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/NeceSera/Pink-Terry-Travel-Hoodie/18046637,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.183086
CavaMoscow,Blue Transform Hoodie%Off,2159,2699,20%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/d503ef9eb4824e16b2d057c04282f2980922861800x1800_480x360.jpg,https://www.slikk.club/top wear/hoodies & sweatshirts/Cava/Moscow-Blue-Transform-Hoodie/8904468810572,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Hoodies%20%26%20Sweatshirts,Top_Wear,Hoodies_Sweatshirts_Women,1,2025-08-11T13:58:38.183544
