brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
JUNEBERRYJUNEBERRY,Red & Black Regular Fit Graphic T-Shirt%Off,454,1199,62.14%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/61790672376b47d8ab2d774ff06802e4182fc09ba0d3f4bc68818de95e12dd376_480x360.jpg,https://www.slikk.club/top wear/t-shirts/JUNEBERRY/JUNEBERRY-Red-Black-Regular-Fit-Graphic-T-Shirt/8905824020673,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.635111
JUNEBERRYJUNEBERRY,Angel Black Oversized Graphic T-Shirt%Off,454,1199,62.14%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x374/6d03658dced941a7be649a101d5f89770165bf6a046ca1423d9f787bdeab91e433_480x374.jpg,https://www.slikk.club/top wear/t-shirts/JUNEBERRY/JUNEBERRY-Angel-Black-Oversized-Graphic-T-Shirt/8905824109255,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.635844
The,Souled StorePeanuts: Playtime%Off,549,1299,57.74%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/d5ae9c264abb49ea979c137a036f015217382183661732409_8cae8f6e400b4ed69d03c9ab34f4d88a.jpg,https://www.slikk.club/top wear/t-shirts/The Souled Store/Peanuts-Playtime/8907880851147,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.636243
JUNEBERRYJUNEBERRY,Stay Weird Graphic Printed Lilac Oversized T-Shirt%Off,479,1199,60.05%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/f6a268b0b5b64ab29e1bd1befdcc980fStayWeirdGraphicPrintedLilacOversizedTShirt_480x320.jpg,https://www.slikk.club/top wear/t-shirts/JUNEBERRY/JUNEBERRY-Stay-Weird-Graphic-Printed-Lilac-Oversized-T-Shirt/8905824053190,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.636624
BewakoofBewakoof,Official Friends Merchandise Women's Black Friends Slim Fit T-shirt%Off,399,1099,63.69%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x384/41c724d7764b48e6a0156de16f903ca4womensblackfriendsslimfittshirt23806317170605531_480x384.jpg,https://www.slikk.club/top wear/t-shirts/Bewakoof/Bewakoof-Official-Friends-Merchandise-Women-s-Black-Friends-Slim-Fit-T-shirt/818424727867,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.637023
JUNEBERRYJUNEBERRY,Boston Black Graphic Printed Oversized T-Shirt%Off,428,999,57.16%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x374/4e2a26944b334642898b5889cf1a3e0d010036GLOSBOSTONBK_480x374.jpg,https://www.slikk.club/top wear/t-shirts/JUNEBERRY/JUNEBERRY-Boston-Black-Graphic-Printed-Oversized-T-Shirt/8905824101532,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.637410
The,Souled StoreSolids: Deep Brown%Off,668,1499,55.44%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/4e2e411d6eef4826b64008485688505917171582722172155_480x360.jpg,https://www.slikk.club/top wear/t-shirts/The Souled Store/Solids-Deep-Brown/620414710175,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.637979
JUNEBERRYJUNEBERRY,Babe Multicolor Regular Fit Graphic T-Shirt%Off,479,1199,60.05%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/2c7797962d0647e6b71053289a231e4cJBTSHTDBABE_480x320.jpg,https://www.slikk.club/top wear/t-shirts/JUNEBERRY/JUNEBERRY-Babe-Multicolor-Regular-Fit-Graphic-T-Shirt/8905824035677,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.638499
HORSBlaze,Visionary Oversized Sustainable T-Shirt%Off,674,1149,41.34%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/1c0d2e76c38f4a9992452e842a01a68a1_d3717227693e450098f880fcb5d9023e.jpg,https://www.slikk.club/top wear/t-shirts/HORS/Blaze-Visionary-Oversized-Sustainable-T-Shirt/410804098717,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.639265
WHAT,THE FLEXNothing New Heavyweight T-Shirt%Off,1199,1499,20.01%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x383/4fd3413677b34d5a96d5bc52c7d8c7feNothingNewWebsite1_249945da70e447fc9f049e1e7b62c4d2.jpg,https://www.slikk.club/top wear/t-shirts/WHAT THE FLEX/Nothing-New-Heavyweight-T-Shirt/HT-NTNEW-XL,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.639840
Color,CapitalRelaxed Fit T-shirt,590,590,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/487dbf663a3a45c88f7ffbf5960dec951ea04711a44894718a4c87a7c3dd09323_7ac49af9f3674268b46b7a3fcc8b0e89.jpg,https://www.slikk.club/top wear/t-shirts/Color Capital/Relaxed-Fit-T-shirt/461917588843,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.640337
HORSBlush,Bloom Oversized Sustainable Crop Top%Off,494,999,50.55%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/23c57acaa09b436f856661886a4a521a1_1b037eaef87a4043a985b2dfff6df45a.jpg,https://www.slikk.club/top wear/t-shirts/HORS/Blush-Bloom-Oversized-Sustainable-Crop-Top/355379969293,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.640644
ONE,OFF SOCIETYYING YANG%Off,2124,2499,15.01%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x373/ddc5dd28734c4cbf8fc0fa62011b12cfyingyang12_775eec7c12e74739bd08dcfabf8f5201.png,https://www.slikk.club/top wear/t-shirts/ONE OFF SOCIETY/YING-YANG/20124414,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.641055
BEOMMaroon,Magic Round Neck Loose Fit T-Shirt%Off,499,598,16.56%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/06aee3b880674829b4543c72308176695_db36e70f29c247b0a8b5ae33da3ac1c0.jpg,https://www.slikk.club/top wear/t-shirts/BEOM/Maroon-Magic-Round-Neck-Loose-Fit-T-Shirt/228606396526,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=T-Shirts,Top_Wear,T_Shirts_Women,1,2025-08-11T10:27:51.641432
