brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,category,subcategory,page_number,scraped_at
MYWISHBAGMWB,V-Neck Ribbbed Long Sleeve Top%Off,719,719,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x317/96ae16ee92d44ac8b01c3b9ab31c330acDQX3I1lw4EYD3Krbgfa2Frenders2FPBNW11e62ioCVDSCiIs3C_9f1101b3e9a24b0dbba7bb7afc80d84d.png,https://www.slikk.club/top wear/tops/MYWISHBAG/MWB-V-Neck-Ribbbed-Long-Sleeve-Top/29531191704,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.476256
Campus,SutraWomen's Midnight Black Textured Corset Top%Off,749,749,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x382/7bf5d1ba9adf4741b1c081f0189b8984CSWSSTOP68871_9f63df10821a4e4d81426267c5d8a039.jpg,https://www.slikk.club/top wear/tops/Campus Sutra/Women-s-Midnight-Black-Textured-Corset-Top/8909226368081,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.477375
UptownieUptownie,Cotton Stretchable Draped Crop Top%Off,449,449,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/8f3a9a0fc8e147e4ba3fc9bc7b041d151_480x360.jpg,https://www.slikk.club/top wear/tops/Uptownie/Uptownie-Cotton-Stretchable-Draped-Crop-Top/291454392525,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.478658
MYWISHBAGFront,Lacing Detail Rib Knitted Top%Off,880,880,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x318/f588ad21065b4879a1ca6f38ab91b48e108673610b9264c7f9fe1cf72fbad2ff4_f51b8d8b7b8b4471a83286af8390f236.jpg,https://www.slikk.club/top wear/tops/MYWISHBAG/Front-Lacing-Detail-Rib-Knitted-Top/61050541,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.479354
OFF,DUTY INDIAContemporary Elegance Ruched Top - Black%Off,890,890,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/876cd526cf5d441fa0bc6ccd1cb99527240604MESHKIDuskTilDawnDrp2291704_86382642293a4785aa8a85f044d3dbfa.jpg,https://www.slikk.club/top wear/tops/OFF DUTY INDIA/Contemporary-Elegance-Ruched-Top-Black/562391001483,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.480678
Color,CapitalPink Vest Top,390,390,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/f4a58f6264e54111ad1a0276c375a03awebsite_018088d66a8443f880652f26f90f2a91.jpg,https://www.slikk.club/top wear/tops/Color Capital/Pink-Vest-Top/891315104370,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.482259
drippinhotCotton,Bustier Fitted Top%Off,499,499,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x270/4ac33fcafdd74396be03fbd07cfcc1e5Layer41_5369c2368be34dccbc09186d3ac1b9c3.png,https://www.slikk.club/top wear/tops/drippinhot/Cotton-Bustier-Fitted-Top/3393,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.483477
STARZON,FASHIONKitty Baby Pink Gathered Top%Off,1148,1148,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x320/rujydQMHLPI53S1RZ202401051_480x320.0.jpg,https://www.slikk.club/top wear/tops/STARZON FASHION/Kitty-Baby-Pink-Gathered-Top/918832864813,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.485158
Burger,BaeNaomi One shoulder%Off,799,799,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x359/VS_02394_1100x_480x359.91820040899796.jpg,https://www.slikk.club/top wear/tops/Burger Bae/Naomi-One-shoulder/688763478766,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.486578
CavaChampagne,Air Mesh Bodysuit%Off,803,803,0.0%,https://slikk-dev-assets-public.s3.amazonaws.com/product/480x360/1c0b67a72aed4589b1d623ae275546931_fe1f94d5110f4f8a9c38d749af6b8e96.jpg,https://www.slikk.club/top wear/tops/Cava/Champagne-Air-Mesh-Bodysuit/8904468807183,https://www.slikk.club/products?division=WOMEN&category=Top%20Wear&subcategory=Tops,Top_Wear,Tops_Women,1,2025-08-11T10:45:50.487911
